Reaction ID,DLKcat
R98_reverse_num7,33.5845
R11_num6,33.1524
R804_num6,33.1524
R1575_num1,31.9144
R1581_num4,31.9144
R1582_num4,31.9144
R1595_num1,31.9144
R1596,31.9144
R2044_num4,31.9144
R786_num4,31.9144
R789_num2,31.9144
R789_reverse_num2,31.9144
R395_num2,31.6794
R395_reverse_num2,31.6794
R433,31.6794
R1575_num5,30.8912
R1590_num3,30.8912
R1592_num3,30.8912
R1592_reverse_num3,30.8912
R751,30.2719
R833_num1,30.2719
R111,28.888
R111_reverse,28.888
R2078,28.7167
R2078_reverse,28.7167
R1346_num2,28.6398
R1353_num2,28.6398
R1363,28.6398
R1365_num2,28.6398
R1431_num2,28.6398
R1432_num2,28.6398
R1433_num2,28.6398
R1434_num2,28.6398
R1436_num2,28.6398
R1820,28.6398
R1821,28.6398
R2075_num2,28.6398
R2075_reverse_num2,28.6398
R2122_num1,28.6398
R1362,28.5158
R1192_num4,28.4413
R1192_reverse_num4,28.4413
R1194_num6,28.4413
R1195_num6,28.4413
R1196_num6,28.4413
R1197_num6,28.4413
R1198_num6,28.4413
R1199_num6,28.4413
R1200_num6,28.4413
R281,28.2069
R792,28.2069
R792_reverse,28.2069
R1571_num8,28.1727
R1572_num8,28.1727
R1593_num5,28.1727
R1593_reverse_num5,28.1727
R1494_num3,27.4548
R1707_num3,27.4548
R1720_num3,27.4548
R198_num7,27.4548
R28_num3,27.4548
R54,27.3745
R54_reverse,27.3745
R1749,26.9218
R1749_reverse,26.9218
R1761,26.9218
R1597,26.9061
R1597_reverse,26.9061
R52,26.9061
R52_reverse,26.9061
R866,26.777
R875,26.777
R876,26.777
R159,26.7472
R159_reverse,26.7472
R164_num1,26.7472
R165_num1,26.7472
R166_num1,26.7472
R167_num1,26.7472
R168_num1,26.7472
R169_num1,26.7472
R837_num2,26.1472
R839_num2,26.1472
R842_num2,26.1472
R845_num2,26.1472
R158_num2,25.5671
R158_reverse_num2,25.5671
R3,25.5671
R3_reverse,25.5671
R4,25.5671
R4_reverse,25.5671
R5,25.5671
R5_reverse,25.5671
R759,25.5671
R759_reverse,25.5671
R782_num2,25.5671
R782_reverse_num2,25.5671
R261_num1,25.4575
R2060,25.3986
R331,25.3986
R801_num2,25.3392
R1367,25.0534
R50,24.2099
R50_reverse,24.2099
R796_num3,23.8941
R13,23.7012
R14,23.7012
R2157,23.7012
R2547_num1,23.7012
R414,23.5629
R1861_num2,23.2835
R1862_num2,23.2835
R1887_num1,23.2835
R235,23.1399
R1136_num1,22.7356
R1136_reverse_num1,22.7356
R1137_num1,22.7356
R1137_reverse_num1,22.7356
R1138_num1,22.7356
R1138_reverse_num1,22.7356
R1139_num1,22.7356
R1139_reverse_num1,22.7356
R1140_num1,22.7356
R1140_reverse_num1,22.7356
R1141_num1,22.7356
R1141_reverse_num1,22.7356
R1142_num1,22.7356
R1142_reverse_num1,22.7356
R1143_num1,22.7356
R1143_reverse_num1,22.7356
R1144_num1,22.7356
R1144_reverse_num1,22.7356
R1145_num1,22.7356
